Lon,Lat,Z
60.353579,5.368486,84.609
60.353658,5.368477,84.609
60.353781,5.368463,84.509
60.353903,5.368434,83.909
60.353954,5.368427,83.609
60.348454,5.365878,116.92
60.34849,5.365905,117.709
60.348557,5.365988,116.79
60.348597,5.366029,117.209
60.348709,5.366139,116.609
60.34879,5.366223,116.509
60.348908,5.36633,116.009
60.348971,5.36639,115.909
60.349021,5.366441,115.909
60.336649,5.346227,34.49
60.336656,5.346282,33.808
60.336654,5.346386,33.508
60.336647,5.346454,33.708
60.348398,5.365815,117.31
60.348454,5.365878,116.92
60.349021,5.366441,115.909
60.34913,5.366567,115.609
60.349217,5.366649,115.309
60.34928,5.366702,114.709
60.349404,5.366773,113.609
60.349473,5.366799,113.409
60.349601,5.366837,111.909
60.34973,5.36689,110.809
60.34986,5.36695,109.709
60.349988,5.367018,108.509
60.350045,5.367059,108.209
60.350561,5.367664,103.871
60.350627,5.367759,103.309
60.35074,5.367886,102.509
60.350842,5.368027,101.809
60.350949,5.368179,101.509
60.351055,5.36829,100.409
60.351169,5.368406,99.409
60.351289,5.368525,98.509
60.35135,5.368578,98.009
60.351472,5.368668,97.109
60.351522,5.368708,96.809
60.351572,5.368737,96.809
60.351656,5.368754,95.899
60.352573,5.368696,89.77
60.352629,5.368672,89.109
60.35273,5.368657,88.309
60.352817,5.368636,87.609
60.352954,5.368611,87.109
60.353017,5.368595,87.109
60.353027,5.368594,87.109
60.354122,5.368404,83.109
60.354223,5.36839,83.009
60.357422,5.368235,79.735
60.357544,5.368239,79.809
60.358353,5.368248,77.579
60.35842,5.368252,78.109
60.358513,5.368264,78.009
60.358636,5.368252,77.409
60.360145,5.368216,75.65
60.360198,5.368217,75.809
60.360327,5.368217,76.009
60.360402,5.368212,76.409
60.363071,5.365946,77.508
60.363191,5.365938,77.808
60.363323,5.365925,78.108
60.36338,5.365917,78.236
60.36506,5.365784,86.933
60.365178,5.365783,83.808
60.366222,5.365643,81.081
60.366329,5.365628,80.408
60.371863,5.359755,51.205
60.371924,5.359719,47.764
60.371931,5.359715,47.347
60.343571,5.362129,122.774
60.343596,5.362157,123.11
60.343639,5.36221,123.686
60.343739,5.362331,125.027
60.343814,5.362415,126.01
60.343886,5.362491,126.935
60.34396,5.362578,127.921
60.344151,5.362791,130.426
60.344189,5.362827,130.907
60.344233,5.362883,131.508
60.344899,5.363364,137.308
60.344949,5.363393,137.308
60.345049,5.363456,137.308
60.345152,5.363525,137.308
60.345282,5.363605,136.308
60.378274,5.360335,42.549
60.378304,5.36036,42.608
60.37839,5.360425,43.008
60.380408,5.359882,53.805
60.380492,5.359825,54.17
60.380561,5.35978,51.762
60.38068,5.359727,52.008
60.380745,5.359689,52.608
60.380863,5.359618,52.708
60.380988,5.359539,52.708
60.381033,5.359508,52.808
60.381077,5.359486,52.808
60.381104,5.359466,52.808
60.38172,5.359087,56.658
60.381818,5.359024,56.808
60.381939,5.358955,57.108
60.383631,5.357646,58.187
60.38367,5.357608,58.108
60.383811,5.35749,58.208
60.383963,5.357352,58.308
